timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1416843143644,215,HTTP Request,200,OK,Thread Group 1-3,text,true,19085,10,10,20
1416843143822,216,HTTP Request,200,OK,Thread Group 1-8,text,true,19089,10,10,18
1416843143877,218,HTTP Request,200,OK,Thread Group 1-2,text,true,19049,10,10,21
1416843143965,218,HTTP Request,200,OK,Thread Group 1-7,text,true,19160,10,10,24
1416843144150,218,HTTP Request,200,OK,Thread Group 1-6,text,true,19063,10,10,27
1416843144616,217,HTTP Request,200,OK,Thread Group 1-5,text,true,19096,10,10,19
1416843144658,221,HTTP Request,200,OK,Thread Group 1-4,text,true,19080,10,10,26
1416843144771,211,HTTP Request,200,OK,Thread Group 1-10,text,true,19116,10,10,19
1416843144778,212,HTTP Request,200,OK,Thread Group 1-1,text,true,19097,10,10,23
1416843144832,216,HTTP Request,200,OK,Thread Group 1-9,text,true,19050,10,10,24
1416843144861,222,HTTP Request,200,OK,Thread Group 1-3,text,true,19067,10,10,18
1416843145041,212,HTTP Request,200,OK,Thread Group 1-8,text,true,19106,10,10,19
1416843145096,223,HTTP Request,200,OK,Thread Group 1-2,text,true,19130,10,10,21
1416843145184,216,HTTP Request,200,OK,Thread Group 1-7,text,true,19079,10,10,24
1416843145369,217,HTTP Request,200,OK,Thread Group 1-6,text,true,19063,10,10,24
1416843145834,227,HTTP Request,200,OK,Thread Group 1-5,text,true,19112,10,10,18
1416843145881,218,HTTP Request,200,OK,Thread Group 1-4,text,true,19063,10,10,24
1416843145983,218,HTTP Request,200,OK,Thread Group 1-10,text,true,19091,10,10,19
1416843145991,221,HTTP Request,200,OK,Thread Group 1-1,text,true,20399,10,10,23
1416843146050,216,HTTP Request,200,OK,Thread Group 1-9,text,true,19104,10,10,25
1416843146085,218,HTTP Request,200,OK,Thread Group 1-3,text,true,19085,10,10,18
1416843146255,229,HTTP Request,200,OK,Thread Group 1-8,text,true,19120,10,10,18
1416843146321,214,HTTP Request,200,OK,Thread Group 1-2,text,true,19074,10,10,18
1416843146401,234,HTTP Request,200,OK,Thread Group 1-7,text,true,19103,10,10,25
1416843146588,215,HTTP Request,200,OK,Thread Group 1-6,text,true,19111,10,10,24
1416843147062,213,HTTP Request,200,OK,Thread Group 1-5,text,true,19084,10,10,19
1416843147101,221,HTTP Request,200,OK,Thread Group 1-4,text,true,19105,10,10,24
1416843147203,214,HTTP Request,200,OK,Thread Group 1-10,text,true,19074,10,10,22
1416843147214,221,HTTP Request,200,OK,Thread Group 1-1,text,true,19079,10,10,23
1416843147268,219,HTTP Request,200,OK,Thread Group 1-9,text,true,19046,10,10,25
1416843147304,219,HTTP Request,200,OK,Thread Group 1-3,text,true,19153,10,10,21
1416843147486,227,HTTP Request,200,OK,Thread Group 1-8,text,true,19072,10,10,18
1416843147536,220,HTTP Request,200,OK,Thread Group 1-2,text,true,19041,10,10,19
1416843147636,218,HTTP Request,200,OK,Thread Group 1-7,text,true,19136,10,10,24
1416843147804,215,HTTP Request,200,OK,Thread Group 1-6,text,true,19063,10,10,25
1416843148276,219,HTTP Request,200,OK,Thread Group 1-5,text,true,19077,10,10,21
1416843148323,264,HTTP Request,200,OK,Thread Group 1-4,text,true,19040,10,10,24
1416843148436,211,HTTP Request,200,OK,Thread Group 1-1,text,true,19120,10,10,24
1416843148418,239,HTTP Request,200,OK,Thread Group 1-10,text,true,19062,10,10,20
1416843148489,215,HTTP Request,200,OK,Thread Group 1-9,text,true,19133,10,10,23
1416843148524,220,HTTP Request,200,OK,Thread Group 1-3,text,true,19134,10,10,19
1416843148715,219,HTTP Request,200,OK,Thread Group 1-8,text,true,19129,10,10,18
1416843148757,224,HTTP Request,200,OK,Thread Group 1-2,text,true,19096,10,10,18
1416843148856,212,HTTP Request,200,OK,Thread Group 1-7,text,true,19090,10,10,24
1416843149021,213,HTTP Request,200,OK,Thread Group 1-6,text,true,19056,10,10,23
1416843149496,226,HTTP Request,200,OK,Thread Group 1-5,text,true,19076,10,10,19
1416843149589,220,HTTP Request,200,OK,Thread Group 1-4,text,true,19032,10,10,24
1416843149649,215,HTTP Request,200,OK,Thread Group 1-1,text,true,19073,10,10,25
1416843149705,211,HTTP Request,200,OK,Thread Group 1-9,text,true,19097,10,10,24
1416843149657,280,HTTP Request,200,OK,Thread Group 1-10,text,true,19121,10,10,20
1416843149745,216,HTTP Request,200,OK,Thread Group 1-3,text,true,19094,10,10,19
1416843149935,222,HTTP Request,200,OK,Thread Group 1-8,text,true,19087,10,10,19
1416843149982,212,HTTP Request,200,OK,Thread Group 1-2,text,true,19047,10,10,19
1416843150070,214,HTTP Request,200,OK,Thread Group 1-7,text,true,19089,10,10,23
1416843150235,221,HTTP Request,200,OK,Thread Group 1-6,text,true,19078,10,10,24
1416843150723,215,HTTP Request,200,OK,Thread Group 1-5,text,true,19136,10,10,19
1416843150864,235,HTTP Request,200,OK,Thread Group 1-1,text,true,19145,10,10,25
1416843150811,299,HTTP Request,200,OK,Thread Group 1-4,text,true,19103,10,10,90
1416843150917,218,HTTP Request,200,OK,Thread Group 1-9,text,true,19047,10,10,26
1416843150939,222,HTTP Request,200,OK,Thread Group 1-10,text,true,19103,10,10,19
1416843150963,219,HTTP Request,200,OK,Thread Group 1-3,text,true,19070,10,10,19
1416843151158,215,HTTP Request,200,OK,Thread Group 1-8,text,true,19078,10,10,20
1416843151196,220,HTTP Request,200,OK,Thread Group 1-2,text,true,19088,10,10,19
1416843151286,216,HTTP Request,200,OK,Thread Group 1-7,text,true,19111,10,10,23
1416843151458,222,HTTP Request,200,OK,Thread Group 1-6,text,true,19079,10,10,27
1416843151939,218,HTTP Request,200,OK,Thread Group 1-5,text,true,19086,10,10,21
1416843152101,216,HTTP Request,200,OK,Thread Group 1-1,text,true,19038,10,10,24
1416843152112,216,HTTP Request,200,OK,Thread Group 1-4,text,true,19120,10,10,23
1416843152136,216,HTTP Request,200,OK,Thread Group 1-9,text,true,19095,10,10,25
1416843152162,213,HTTP Request,200,OK,Thread Group 1-10,text,true,19026,10,10,18
1416843152183,220,HTTP Request,200,OK,Thread Group 1-3,text,true,19088,10,10,18
1416843152374,219,HTTP Request,200,OK,Thread Group 1-8,text,true,19094,10,10,19
1416843152417,214,HTTP Request,200,OK,Thread Group 1-2,text,true,19089,10,10,18
1416843152503,232,HTTP Request,200,OK,Thread Group 1-7,text,true,19041,10,10,24
1416843152681,218,HTTP Request,200,OK,Thread Group 1-6,text,true,19083,10,10,24
1416843153158,316,HTTP Request,200,OK,Thread Group 1-5,text,true,19087,10,10,19
1416843153318,212,HTTP Request,200,OK,Thread Group 1-1,text,true,19113,10,10,24
1416843153330,217,HTTP Request,200,OK,Thread Group 1-4,text,true,19082,10,10,24
